ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20131113,2185.648,2217.005,2217.035,2183.62,2226.319,-40.671,-0.018268,87975987.0,73222218.175
000002.SH,20131112,2226.319,2209.333,2227.544,2207.016,2208.006,18.313,0.008294000000000001,79153992.0,67782329.707
000002.SH,20131111,2208.006,2201.48,2216.188,2191.375,2204.456,3.55,0.00161,69459687.0,59807396.295
000002.SH,20131108,2204.456,2219.919,2228.018,2201.707,2228.839,-24.383,-0.01094,82716209.0,70092390.331
000002.SH,20131107,2228.839,2236.461,2241.69,2218.125,2239.586,-10.747,-0.004799,81543388.0,70014958.856
000002.SH,20131106,2239.586,2249.781,2267.472,2238.723,2258.034,-18.448,-0.00817,100128104.0,86327128.462
000002.SH,20131105,2258.034,2239.791,2258.992,2224.051,2250.096,7.938,0.003528,91591214.0,77803987.727
000002.SH,20131104,2250.096,2256.879,2261.607,2243.334,2250.007,0.089,4e-05,75968302.0,66219519.503
000002.SH,20131101,2250.007,2239.852,2258.148,2232.229,2241.641,8.366,0.0037319999999999996,88797778.0,76129211.424
000002.SH,20131031,2241.641,2256.28,2256.28,2237.291,2261.458,-19.817,-0.008763,107631050.0,88452746.301
000002.SH,20131030,2261.458,2226.054,2263.024,2220.964,2228.34,33.118,0.014862,119320320.0,95076535.111
000002.SH,20131029,2228.34,2234.904,2264.762,2190.948,2233.471,-5.131,-0.002297,142489334.0,117016666.413
000002.SH,20131028,2233.471,2235.604,2240.946,2222.147,2232.507,0.964,0.00043200000000000004,88089467.0,77721972.925
000002.SH,20131025,2232.507,2264.64,2271.943,2221.719,2265.31,-32.803,-0.014480999999999999,113435885.0,99377107.544
000002.SH,20131024,2265.31,2280.549,2285.362,2260.638,2285.072,-19.762,-0.008648,102659070.0,89793544.413
000002.SH,20131023,2285.072,2316.699,2330.929,2279.465,2313.935,-28.863,-0.012474,145749919.0,125484804.281
000002.SH,20131022,2313.935,2331.426,2331.426,2307.21,2333.429,-19.494,-0.008354,147864200.0,134344107.547
